年,月,日, 玉米粒, 黃豆粉 ,玉米粉 ,脫殼豆粉,高蛋白豆粉
2018,10,8,6.78,12.7,7.25,13.8,13.75
2018,10,9,6.78,12.7,7.25,13.8,13.75
2018,10,10,,,,,
2018,10,11,6.78,12.7,7.25,13.8,13.73
2018,10,12,6.8,12.7,7.25,13.8,13.75
2018,10,13,,,,,
2018,10,14,,,,,
2018,10,15,6.82,12.7,7.27,13.8,13.77
2018,10,16,6.85,12.7,7.35,13.8,13.8
2018,10,17,6.85,12.7,7.35,13.85,13.79
2018,10,18,6.9,12.7,7.35,13.85,13.79
2018,10,19,6.9,12.7,7.38,13.85,13.76
2018,10,20,,,,,
2018,10,21,,,,,
2018,10,22,6.95,12.7,7.38,13.85,13.74
2018,10,23,6.95,12.7,7.42,13.85,13.74
2018,10,24,6.95,12.7,7.42,13.85,13.74
2018,10,25,6.95,12.7,7.42,13.85,13.72
2018,10,26,6.95,12.7,7.42,13.8,13.7
2018,10,27,,,,,
2018,10,28,,,,,
2018,10,29,6.98,12.7,7.42,13.8,13.74
2018,10,30,7,12.7,7.44,13.8,13.7
2018,10,31,7.05,12.7,7.44,13.8,13.69
2018,11,1,7.15,12.65,7.5,13.75,13.69
2018,11,2,7.2,12.7,7.55,13.8,13.72
2018,11,3,,,,,
2018,11,4,,,,,
2018,11,5,7.25,12.7,7.6,13.8,14.15
2018,11,6,7.25,12.7,7.65,13.8,13.72
2018,11,7,7.3,12.65,7.7,13.75,13.72
2018,11,8,7.35,12.65,7.75,13.75,13.69
2018,11,9,7.4,12.65,7.8,13.75,13.69
2018,11,10,,,,,
2018,11,11,,,,,
2018,11,12,7.45,12.65,7.82,13.75,13.7
2018,11,13,7.5,12.65,7.85,13.75,13.69
2018,11,14,7.65,12.65,7.92,13.75,13.68
2018,11,15,7.9,12.65,7.97,13.75,13.68
2018,11,16,8.13,12.65,8.1,13.75,13.68
2018,11,17,,,,,
2018,11,18,,,,,
2018,11,19,8.15,12.65,8.25,13.75,13.64
2018,11,20,8.15,12.6,8.35,13.7,13.61
2018,11,21,8.13,12.6,8.35,13.7,13.62
2018,11,22,8.1,12.6,8.35,13.7,13.6
2018,11,23,7.9,12.6,8.35,13.7,13.6
2018,11,24,,,,,
2018,11,25,,,,,
2018,11,26,7.9,12.6,8.3,13.7,13.57
2018,11,27,7.87,12.55,8.25,13.65,13.51
2018,11,28,7.82,12.55,8.23,13.65,13.52
2018,11,29,7.8,12.5,8.23,13.6,13.54
2018,11,30,7.75,12.5,8.2,13.6,13.52
2018,12,1,,,,,
2018,12,2,,,,,
2018,12,3,7.75,12.5,8.2,13.7,13.62
2018,12,4,7.75,12.5,8.2,13.7,13.59
2018,12,5,7.75,12.5,8.2,13.7,13.62
2018,12,6,7.75,12.5,8.2,13.7,13.6
2018,12,7,7.75,12.5,8.2,13.7,13.59
2018,12,8,,,,,
2018,12,9,,,,,
2018,12,10,7.75,12.5,8.18,13.7,13.6
2018,12,11,7.75,12.5,8.18,13.7,13.58
2018,12,12,7.75,12.5,8.18,13.7,13.58
2018,12,13,7.75,12.5,8.18,13.7,13.58
2018,12,14,7.7,12.5,8.18,13.7,13.58
2018,12,15,,,,,
2018,12,16,,,,,
2018,12,17,7.65,12.45,8.15,13.65,13.55
2018,12,18,7.63,12.45,8.13,13.65,13.55
2018,12,19,7.6,12.45,8.13,13.65,13.55
2018,12,20,7.55,12.45,8.1,13.65,13.53
2018,12,21,7.52,12.4,8.08,13.6,13.51
2018,12,22,,,,,
2018,12,23,,,,,
2018,12,24,7.5,12.4,8.05,13.6,13.48
2018,12,25,7.45,12.4,8.04,13.6,13.48
2018,12,26,7.4,12.4,8,13.6,13.48
2018,12,27,7.4,12.35,7.98,13.55,13.41
2018,12,28,7.4,12.35,7.95,13.55,13.41
2018,12,29,,,,,
2018,12,30,,,,,
2018,12,31,,,,,
2019,1,1,,,,,
2019,1,2,7.4,12.3,7.93,13.5,13.44
2019,1,3,7.35,12.3,7.9,13.5,13.45
2019,1,4,7.35,12.3,7.87,13.5,13.45
2019,1,5,,,,,
2019,1,6,,,,,
2019,1,7,7.35,12.4,7.87,13.5,13.45
